observation_index,saison,spieltag,spiel,baseline_model,candidate_model,baseline_negative_log_score,candidate_negative_log_score,candidate_score_advantage,cumulative_candidate_score_advantage
351,19/20,6,1,poisson_rolling_306,com_poisson_rolling_306,3.043075191746233,2.9471734740437228,0.09590171770251033,4.342601697386975
352,19/20,6,2,poisson_rolling_306,com_poisson_rolling_306,3.8293772068610465,3.9902025891661026,-0.16082538230505605,4.181776315081919
353,19/20,6,3,poisson_rolling_306,com_poisson_rolling_306,2.935885195924193,2.79058323075148,0.1453019651727132,4.327078280254632
354,19/20,6,4,poisson_rolling_306,com_poisson_rolling_306,4.654917653584683,5.124705787566398,-0.4697881339817158,3.8572901462729163
355,19/20,6,5,poisson_rolling_306,com_poisson_rolling_306,4.077847864057368,4.413485810234079,-0.3356379461767105,3.521652200096206
356,19/20,6,6,poisson_rolling_306,com_poisson_rolling_306,3.3747921822129925,3.368425172057954,0.006367010155038599,3.5280192102512444
357,19/20,6,7,poisson_rolling_306,com_poisson_rolling_306,3.0690251165005193,2.9538187299928325,0.11520638650768689,3.6432255967589313
358,19/20,6,8,poisson_rolling_306,com_poisson_rolling_306,2.951660791905404,2.7978046488897803,0.15385614301562356,3.797081739774555
359,19/20,6,9,poisson_rolling_306,com_poisson_rolling_306,2.911609597518357,2.7531039395777555,0.15850565794060145,3.9555873977151563
360,19/20,7,1,poisson_rolling_306,com_poisson_rolling_306,3.070398868692209,2.951376086327656,0.11902278236455288,4.074610180079709
361,19/20,7,2,poisson_rolling_306,com_poisson_rolling_306,3.070398868692209,2.951376086327656,0.11902278236455288,4.193632962444262
362,19/20,7,3,poisson_rolling_306,com_poisson_rolling_306,3.5002987267053953,3.6044341866239904,-0.10413545991859507,4.089497502525667
363,19/20,7,4,poisson_rolling_306,com_poisson_rolling_306,4.659972387413049,5.1559169468063715,-0.4959445593933225,3.5935529431323445
364,19/20,7,5,poisson_rolling_306,com_poisson_rolling_306,2.906283553620213,2.7352396570404665,0.1710438965797465,3.764596839712091
365,19/20,7,6,poisson_rolling_306,com_poisson_rolling_306,8.661869718762432,10.946392916848112,-2.2845231980856795,1.4800736416264115
366,19/20,7,7,poisson_rolling_306,com_poisson_rolling_306,4.0166914125708075,4.259719484519906,-0.24302807194909803,1.2370455696773135
367,19/20,7,8,poisson_rolling_306,com_poisson_rolling_306,2.935050359133882,2.783566216939846,0.15148414219403605,1.3885297118713495
368,19/20,7,9,poisson_rolling_306,com_poisson_rolling_306,3.66497604046684,3.771112025082118,-0.10613598461527829,1.2823937272560713
369,19/20,8,1,poisson_rolling_306,com_poisson_rolling_306,2.9361650101645864,2.8144660879013514,0.12169892226323498,1.4040926495193062
370,19/20,8,2,poisson_rolling_306,com_poisson_rolling_306,3.8281849896962683,3.954470035092882,-0.12628504539661378,1.2778076041226925
371,19/20,8,3,poisson_rolling_306,com_poisson_rolling_306,2.979981363711289,2.8752178214521535,0.10476354225913553,1.382571146381828
